,x,
1,Acer macrophyllum,
2,Adenostoma fasciculatum,
3,Aesculus californica,
4,Arbutus menzesii,
5,Arctostaphylos spp.,Check calflora/jepson to determine the most common species in the Bay Area - I think we should include A. manzanita and A. glandulosa
6,Artemesia californica,
7,Avena spp.,Check calflora/jepson to determine the most common species in the Bay Area
8,Baccharis pilularis,
9,Bromus spp.,Check calflora/jepson to determine the most common species in the Bay Area
10,Ceanothus cuneatus,
11,Festuca rubra,
12,Heteromeles arbutifolia,
13,Lithocarpus densiflorus,name!
14,Mimulus aurantiacus,
15,Nassella pulchra,
16,Pinus attenuata,
17,Pinus muricata,
18,Pinus ponderosa,
19,Pinus sabiniana,
20,Platanus racemosa,
21,Populus fremontii,
22,Pseudotsuga menzesii,check spelling
23,Quercus agrifolia,
24,Quercus chrysolepis,
25,Quercus douglasii,
26,Quercus durata,
27,Quercus garryana,
28,Quercus kelloggii,
29,Quercus lobata,
30,Quercus wislizeni,check spelling
31,Salix spp.,Check calflora/jepson to determine the most common species in the Bay Area
32,Sequoia sempervirens,
33,Umbellularia californica,