"","species","hemisphere","chilefornia_northbay","chilefornia_california","chilefornia_westernNA","fia_northbay","fia_california","fia_westernNA","CODE","SPECIES","COMMON.NAME","TR","SA","TS","hectares","rownum","notes"
"170","Morella pavonis","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Myrceugenia chrysocarpa","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Myrceugenia colchaguensis","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Myrceugenia correifolia","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Myrceugenia exsucca","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Myrceugenia obtusa","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Myrceugenia ovata","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Myrceugenia parvifolia","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Myrceugenia planipes","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Nassella pulchra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,""
"180","Nothofagus alessandri","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Nothofagus alpina","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Nothofagus antarctica","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Nothofagus betuloides","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Nothofagus dombeyi","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Nothofagus glauca","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Nothofagus macrocarpa","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Nothofagus nitida","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Nothofagus obliqua","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Nothofagus pumilio","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Notholithocarpus densiflorus","north",399,1506,1522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Oemleria cerasiformis","north",187,846,1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Olneya tesota","north",0,367,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Otholobium glandulosum","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Ovidia andina","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Parkinsonia florida","north",0,333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Parkinsonia microphylla","north",0,117,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Persea lingue","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Peucephyllum schottii","north",0,831,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Peumus boldus","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Picea breweriana","north",0,221,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Picea engelmannii","north",0,40,160,0,2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Picea glauca","north",0,0,11,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Picea sitchensis","north",32,204,1770,0,24,537,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Pilgerodendron uviferum","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Pinus attenuata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,""
"206","Pinus balfouriana","north",0,382,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Pinus contorta","north",221,1912,2333,2,434,1038,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Pinus flexilis","north",0,460,196,0,21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Pinus jeffreyi","north",9,430,316,3,901,781,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Pinus lambertiana","north",36,439,413,38,1241,1655,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Pinus longaeva","north",0,247,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Pinus monophylla","north",0,632,186,0,291,94,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Pinus monticola","north",3,851,1078,1,296,758,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Pinus muricata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,""
"215","Pinus ponderosa","north",142,2445,2873,84,1923,2975,NA,NA,NA,NA,NA,NA,NA,18,""
"216","Pinus quadrifolia","north",0,96,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Pinus radiata","north",0,105,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Pinus sabiniana","north",183,1441,1367,53,502,497,NA,NA,NA,NA,NA,NA,NA,19,""
"219","Pinus virginiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Pitavia punctata","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Platanus racemosa","north",9,2189,2052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,""
"222","Podocarpus nubigenus","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Podocarpus salignus","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Polylepis rugulosa","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Polylepis tarapacana","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Populus angustifolia","north",0,27,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Populus balsamifera","north",10,694,693,0,21,219,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Populus fremontii","north",60,1645,1192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,""
"229","Populus tremuloides","north",1,671,431,0,46,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Porlieria chilensis","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Pouteria splendens","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Prosopis alba","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Prosopis chilensis","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Prosopis glandulosa","north",0,1043,167,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Prosopis pubescens","north",0,237,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Prosopis tamarugo","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Prumnopitys andina","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Prunus cerasifera",NA,NA,NA,NA,NA,NA,NA,"PRUCER","Prunus cerasifera","Cherry plum",2,3,NA,NA,NA,NA
"239","Prunus emarginata","north",91,1985,2108,2,29,339,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Prunus fremontii","north",0,554,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Prunus ilicifolia","north",14,2086,1943,NA,NA,NA,"PRUILI","Prunus ilicifolia","Holly leaf cherry ",NA,NA,NA,NA,NA,NA
"242","Prunus subcordata","north",94,573,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Prunus virginiana","north",145,1538,1399,1,5,41,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Pseudotsuga menzesii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,"check spelling"
"245","Pseudotsuga menziesii","north",625,2910,7231,511,2517,9809,"PSEMEN","Pseudotsuga menziesii","Douglas-fir",519,368,NA,140,NA,NA
"246","Psorothamnus spinosus","north",0,677,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Ptelea crenulata","north",55,367,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Quercus agrifolia","north",140,1432,1393,119,441,440,"QUEAGR","Quercus agrifolia","Coast live oak",372,357,38,944,23,""
"249","Quercus berberidifolia","north",186,1582,1518,NA,NA,NA,"QUEBER","Quercus berberidifolia","Scrub oak",12,38,2,NA,NA,NA
"250","Quercus cedrosensis","north",0,20,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Quercus chrysolepis","north",368,4327,3949,177,1312,1525,NA,NA,NA,NA,NA,NA,NA,24,""
"252","Quercus chrysolepis var. chrysolepis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Quercus cornelius-mulleri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Quercus douglasii","north",236,2010,1967,56,824,823,"QUEDOU","Quercus douglasii","Blue oak",60,3,NA,276,25,""
"255","Quercus dumosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Quercus dumosa var. dumosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Quercus durata","north",479,1292,1291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,""
"258","Quercus engelmannii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Quercus gambelii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Quercus gambelii var. gambelii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Quercus gambellii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Quercus garryana","north",369,1517,2049,107,361,679,"QUEGAR","Quercus garryana","Oregon oak",335,12,8,1480,27,""
"263","Quercus john-tuckeri","north",0,451,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Quercus kelloggii","north",187,1208,1098,239,1604,1851,"QUEKEL","Quercus kelloggii","Black oak",79,3,NA,389,28,""
"265","Quercus lobata","north",284,2044,1986,66,168,169,"QUELOB","Quercus lobata","Valley oak",2,NA,NA,14,29,""
"266","Quercus oblongifolia","north",0,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Quercus pacifica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Quercus palmeri","north",1,187,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Quercus parvula","north",134,508,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Quercus parvula var. shrevei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Quercus sadleriana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","Quercus tomentella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Quercus turbinella","north",0,186,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Quercus vaccinifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Quercus vacciniifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Quercus wislizeni","north",452,2903,2687,82,566,559,"QUEWIS","Quercus wislizeni","Interior live oak",1,NA,NA,NA,30,"check spelling"
"277","Quillaja saponaria","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Raukaua laetevirens","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Rhamnus crocea",NA,NA,NA,NA,NA,NA,NA,"RHACRO","Rhamnus crocea","Redberry buckthorn",NA,8,NA,NA,NA,NA
"280","Rhaphithamnus spinosus","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","Rhododendron macrophyllum","north",202,391,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","Rhus integrifolia","north",5,1985,1850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Rhus kearneyi","north",0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","Rhus ovata","north",0,1962,1607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","Robinia neomexicana","north",0,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","Salix alaxensis","north",0,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","Salix amygdaloides","north",0,3,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","Salix barclayi","north",0,0,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","Salix bebbiana","north",0,6,23,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","Salix bonplandiana","north",0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","Salix breweri","north",115,271,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","Salix exigua","north",193,2803,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","Salix exigua var. hindsiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","Salix geyeriana","north",0,410,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","Salix glauca","north",0,0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","Salix gooddingii","north",22,1303,937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","Salix hookeriana","north",63,324,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","Salix humboldtiana","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","Salix laevigata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","Salix lasiandra","north",90,1069,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","Salix lasiolepis","north",360,4544,4002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","Salix ligulifolia","north",0,146,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","Salix lutea","north",1,345,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","Salix maccalliana","north",0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","Salix melanopsis","north",76,616,616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","Salix myrtillifolia","north",0,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","Salix planifolia","north",0,171,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","Salix prolixa","north",1,41,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","Salix pulchra","north",0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","Salix scouleriana","north",108,1289,1301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","Salix sessilifolia","north",0,0,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","Salix sitchensis","north",155,552,861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","Salix spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,"Check calflora/jepson to determine the most common species in the Bay Area"
"314","Salix taxifolia","north",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","Salix tracyi","north",6,52,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","Sambucus nigra",NA,NA,NA,NA,NA,NA,NA,"SAMNIG","Sambucus nigra","Elderberry",NA,2,NA,NA,NA,NA
"317","Sambucus racemosa","north",122,909,1276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","Saxegothaea conspicua","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","Schinus latifolius","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","Schinus molle","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","Schinus patagonicus","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","Schinus polygamus","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","Senegalia greggii","north",0,829,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","Sequoia sempervirens","north",167,497,493,258,494,504,NA,NA,NA,NA,NA,NA,NA,32,""
"325","Sequoiadendron giganteum","north",0,128,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","Shepherdia argentea","north",0,150,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","Sophora cassioides","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","Sophora macrocarpa","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","Sorbus scopulina","north",0,249,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","Sorbus sitchensis","north",0,35,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","Staphylea bolanderi","north",0,135,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","Styrax redivivus","north",47,681,673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","Taxus brevifolia","north",57,529,909,1,41,429,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","Tepualia stipularis","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","Thuja plicata","north",1,121,2236,0,5,2236,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","Torreya californica","north",306,684,684,NA,NA,NA,"TORCAL","Torreya californica","California nutmeg",NA,5,NA,NA,NA,NA
"337","Tsuga heterophylla","north",72,184,3988,12,62,4385,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","Tsuga mertensiana","north",0,532,1881,0,89,790,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","Umbellularia californica","north",926,4001,4039,190,481,635,"UMBCAL","Umbellularia californica","California Bay",421,951,28,678,33,""
"340","Vauquelinia californica","north",0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","Washingtonia filifera","north",0,514,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","Weinmannia trichosperma","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","Yucca brevifolia","north",0,1050,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","Ziziphus obtusifolia","north",0,155,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
